day,action,lockdown_level,S,E,I,R,D,Active,Total_Ever_Infected,new_infections,new_deaths,new_recoveries,A,U,rho_A,AS,US,AI,R_eff,beta_avg,base_economy,adjusted_economy,workforce_available,transmission_multiplier,cumulative_deaths,cumulative_infections
1,0,0,985,10,5,0,0,5,15,0,0,0,41,959,0.041,36,949,5,0.543536,0.039415228426395936,1.0,0.995,995,1.0,0,0
2,1,1,984,9,7,0,0,7,16,1,0,0,51,949,0.051,47,937,4,0.35133280000000006,0.025503252032520327,0.65,0.6454500000000001,993,0.65,0,1
3,1,1,984,7,9,0,0,9,16,0,0,0,86,914,0.086,81,903,5,0.3463824,0.02514390243902439,0.65,0.64415,991,0.65,0,1
4,1,1,982,6,12,0,0,12,18,2,0,0,147,853,0.147,135,847,9,0.3377920000000001,0.024570264765784118,0.65,0.6422,988,0.65,0,3
5,1,1,982,2,16,0,0,16,18,0,0,0,231,769,0.231,217,765,12,0.3258528,0.02370183299389002,0.65,0.6396000000000001,984,0.65,0,3
6,1,1,980,4,16,0,0,16,20,2,0,0,366,634,0.366,355,625,8,0.30503199999999997,0.02223265306122449,0.65,0.6396000000000001,984,0.65,0,5
7,1,1,980,3,17,0,0,17,20,0,0,0,434,566,0.434,421,559,10,0.29542240000000003,0.021532244897959185,0.65,0.63895,983,0.65,0,5
8,1,1,979,3,18,0,0,18,21,1,0,0,552,448,0.552,541,438,8,0.27758639999999996,0.020252911133810007,0.65,0.6383000000000001,982,0.65,0,6
9,1,1,978,3,19,0,0,19,22,1,0,0,579,421,0.579,564,414,12,0.27387360000000005,0.02000245398773006,0.65,0.6376499999999999,981,0.65,0,7
10,1,1,977,3,18,2,0,18,23,1,0,2,603,397,0.603,586,391,14,0.27030640000000006,0.019762128966223133,0.65,0.6383000000000001,982,0.65,0,8
11,1,1,974,5,19,2,0,19,26,3,0,0,597,403,0.597,579,395,12,0.27023359999999996,0.019817659137577,0.65,0.6376499999999999,981,0.65,0,11
12,1,1,970,7,17,6,0,17,30,4,0,4,573,427,0.573,553,417,12,0.27256320000000006,0.020070927835051548,0.65,0.63895,983,0.65,0,15
13,1,1,968,4,20,8,0,20,32,2,0,2,576,424,0.576,555,413,14,0.27154400000000006,0.02003719008264463,0.65,0.637,980,0.65,0,17
14,1,1,967,5,19,9,0,19,33,1,0,1,584,416,0.584,563,404,13,0.2700152,0.01994498448810755,0.65,0.6376499999999999,981,0.65,0,18
15,1,1,964,6,20,10,0,20,36,3,0,1,564,436,0.564,545,419,12,0.271544,0.02012033195020747,0.65,0.637,980,0.65,0,21
16,1,1,964,4,21,11,0,21,36,0,0,1,610,390,0.61,584,380,15,0.26586560000000004,0.019699585062240666,0.65,0.63635,979,0.65,0,21
17,1,1,964,2,21,13,0,21,36,0,0,2,625,375,0.625,602,362,17,0.26324480000000006,0.019505394190871373,0.65,0.63635,979,0.65,0,21
18,1,1,963,2,21,14,0,21,37,1,0,1,634,366,0.634,614,349,13,0.2611336,0.019369055036344757,0.65,0.63635,979,0.65,0,22
19,1,1,961,4,19,16,0,19,39,3,0,3,651,349,0.651,625,336,12,0.258804,0.01923621227887617,0.65,0.6376499999999999,981,0.65,0,25
20,1,1,960,4,19,17,0,19,40,1,0,1,652,348,0.652,622,338,14,0.2588768,0.019261666666666667,0.65,0.6376499999999999,981,0.65,0,26
21,1,1,957,5,21,17,0,21,43,3,0,0,615,385,0.615,583,374,14,0.2634632,0.019664367816091956,0.65,0.63635,979,0.65,0,29
22,1,1,956,4,21,19,0,21,44,1,0,2,594,406,0.594,567,389,12,0.2654288000000001,0.019831799163179918,0.65,0.63635,979,0.65,0,30
23,1,1,955,4,21,20,0,21,45,1,0,1,598,402,0.598,568,387,13,0.2649192000000001,0.01981445026178011,0.65,0.63635,979,0.65,0,31
24,1,1,955,2,20,23,0,20,45,0,0,3,623,377,0.623,591,364,15,0.2615704,0.01956397905759162,0.65,0.637,980,0.65,0,31
25,1,1,953,3,18,26,0,18,47,2,0,3,620,380,0.62,588,365,12,0.26127920000000004,0.01958321091290661,0.65,0.6383000000000001,982,0.65,0,33
26,1,1,952,2,20,26,0,20,48,1,0,0,641,359,0.641,606,346,17,0.25829440000000004,0.01937983193277311,0.65,0.637,980,0.65,0,34
27,1,1,952,2,18,28,0,18,48,0,0,2,622,378,0.622,587,365,12,0.2610608,0.01958739495798319,0.65,0.6383000000000001,982,0.65,0,34
28,1,1,951,3,15,31,0,15,49,1,0,3,639,361,0.639,605,346,11,0.258076,0.01938380651945321,0.65,0.64025,985,0.65,0,35
29,1,1,953,2,16,29,0,16,47,0,0,0,627,373,0.627,594,359,11,0.2604056,0.019517733473242392,0.65,0.6396000000000001,984,0.65,0,35
