day,action,lockdown_level,S,E,I,R,D,Active,Total_Ever_Infected,new_infections,new_deaths,new_recoveries,A,U,rho_A,AS,US,AI,R_eff,beta_avg,base_economy,adjusted_economy,workforce_available,transmission_multiplier,cumulative_deaths,cumulative_infections
1,0,0,985,13,2,0,0,2,15,0,0,0,26,974,0.026,24,961,2,0.5462239999999999,0.039610152284263955,1.0,0.998,998,1.0,0,0
2,0,0,984,12,4,0,0,4,16,1,0,0,69,931,0.069,65,919,3,0.5364800000000001,0.038943089430894307,1.0,0.996,996,1.0,0,1
3,0,0,982,11,7,0,0,7,18,2,0,0,99,901,0.099,92,890,5,0.529312,0.0385010183299389,1.0,0.993,993,1.0,0,3
4,0,0,980,8,12,0,0,12,20,2,0,0,157,843,0.157,148,832,8,0.515648,0.037583673469387756,1.0,0.988,988,1.0,0,5
5,0,0,973,10,17,0,0,17,27,7,0,0,278,722,0.278,261,712,15,0.48641600000000007,0.03570811921891059,1.0,0.983,983,1.0,0,12
6,0,0,968,14,18,0,0,18,32,5,0,0,388,612,0.388,373,595,11,0.45852800000000005,0.033834710743801656,1.0,0.982,982,1.0,0,17
7,0,0,965,13,22,0,0,22,35,3,0,0,457,543,0.457,437,528,15,0.44251199999999996,0.03275440414507772,1.0,0.978,978,1.0,0,20
8,0,0,963,12,25,0,0,25,37,2,0,0,502,498,0.502,477,486,20,0.432432,0.032074766355140186,1.0,0.975,975,1.0,0,22
9,0,0,959,12,29,0,0,29,41,4,0,0,576,424,0.576,552,407,21,0.413392,0.03079040667361835,1.0,0.971,971,1.0,0,26
10,0,0,955,9,36,0,0,36,45,4,0,0,582,418,0.582,549,406,29,0.411824,0.0308020942408377,1.0,0.964,964,1.0,0,30
11,0,0,953,5,40,2,0,40,47,2,0,2,612,388,0.612,580,373,30,0.40376,0.030262329485834207,1.0,0.96,960,1.0,0,32
12,0,0,946,10,42,2,0,42,54,7,0,0,603,397,0.603,568,378,30,0.40252800000000005,0.030393234672304443,1.0,0.958,958,1.0,0,39
13,0,0,941,12,45,2,0,45,59,5,0,0,650,350,0.65,605,336,37,0.39144,0.02971307120085016,1.0,0.955,955,1.0,0,44
14,0,0,931,19,46,4,0,46,69,10,0,2,620,380,0.62,577,354,31,0.39211200000000007,0.03008378088077336,1.0,0.954,954,1.0,0,54
15,0,0,927,16,49,8,0,49,73,4,0,4,639,361,0.639,591,336,34,0.386736,0.02979935275080906,1.0,0.951,951,1.0,0,58
16,0,0,918,19,51,12,0,51,82,9,0,4,667,333,0.667,610,308,41,0.37744000000000005,0.0293681917211329,1.0,0.949,949,1.0,0,67
17,0,0,911,20,54,15,0,54,89,7,0,3,632,368,0.632,575,336,37,0.3813600000000001,0.02990120746432492,1.0,0.946,946,1.0,0,74
18,0,0,900,28,54,18,0,54,100,11,0,3,652,348,0.652,582,318,41,0.3736320000000001,0.029653333333333337,1.0,0.946,946,1.0,0,85
19,0,0,893,27,56,24,0,56,107,7,0,6,640,360,0.64,566,327,40,0.373296,0.029858902575587907,1.0,0.944,944,1.0,0,92
20,0,0,887,29,57,27,0,57,113,6,0,3,655,345,0.655,573,314,44,0.36836800000000003,0.02966403607666291,1.0,0.943,943,1.0,0,98
21,0,0,881,24,67,28,0,67,119,6,0,1,656,344,0.656,570,311,53,0.36568,0.029648127128263334,1.0,0.933,933,1.0,0,104
22,0,0,871,22,72,35,0,72,129,10,0,7,631,369,0.631,541,330,49,0.366576,0.030061997703788746,1.0,0.928,928,1.0,0,114
23,0,0,861,23,78,38,0,78,139,10,0,3,662,338,0.662,567,294,57,0.355152,0.029463414634146343,1.0,0.922,922,1.0,0,124
24,0,0,851,29,79,41,0,79,149,10,0,3,618,382,0.618,524,327,53,0.359184,0.030148061104582843,1.0,0.921,921,1.0,0,134
25,0,0,840,33,79,48,0,79,160,11,0,7,623,377,0.623,527,313,50,0.352352,0.029961904761904763,1.0,0.921,921,1.0,0,145
26,0,0,832,26,85,57,0,85,168,8,0,9,638,362,0.638,530,302,60,0.3472,0.02980769230769231,1.0,0.915,915,1.0,0,153
27,0,0,821,26,91,62,0,91,179,11,0,5,653,347,0.653,537,284,65,0.339472,0.0295347137637028,1.0,0.909,909,1.0,0,164
28,0,0,812,26,98,64,0,98,188,10,0,3,628,372,0.628,523,289,61,0.33756800000000003,0.02969458128078818,1.0,0.902,902,1.0,0,174
29,0,0,802,30,99,69,0,99,198,10,0,5,644,356,0.644,519,283,57,0.33286400000000005,0.029645885286783042,1.0,0.901,901,1.0,0,184
30,0,0,787,31,107,74,1,107,213,15,1,5,684,315,0.684,534,253,79,0.32110400000000006,0.029143583227445997,1.0,0.892,892,1.0,1,199
31,0,0,766,43,109,81,1,109,234,22,0,8,661,338,0.661,493,273,77,0.3185280000000001,0.0297023498694517,1.0,0.89,890,1.0,1,221
32,0,0,759,43,111,86,1,111,241,7,0,5,644,355,0.644,488,271,68,0.315728,0.029712779973649538,1.0,0.888,888,1.0,1,228
33,0,0,747,42,117,93,1,117,253,12,0,7,640,359,0.64,467,280,80,0.31371200000000005,0.02999732262382865,1.0,0.882,882,1.0,1,240
34,0,0,730,38,131,100,1,131,270,17,0,7,631,368,0.631,451,279,97,0.307776,0.030115068493150682,1.0,0.868,868,1.0,1,257
35,0,0,720,38,130,111,1,130,280,10,0,11,628,371,0.628,443,277,87,0.30396800000000007,0.03015555555555556,1.0,0.869,869,1.0,1,267
36,0,0,706,44,131,118,1,131,294,14,0,7,648,351,0.648,451,255,93,0.29433600000000004,0.02977903682719547,1.0,0.868,868,1.0,1,281
37,0,0,698,39,133,129,1,133,302,10,0,13,598,401,0.598,416,282,79,0.297696,0.030464183381088826,1.0,0.866,866,1.0,1,291
38,0,0,694,32,142,131,1,142,306,6,0,4,607,392,0.607,423,271,87,0.2938879999999999,0.030247838616714692,1.0,0.857,857,1.0,1,297
39,0,0,681,31,151,136,1,151,319,13,0,5,601,398,0.601,412,269,91,0.28907200000000005,0.030320117474302497,1.0,0.848,848,1.0,1,310
40,0,0,665,35,156,142,2,156,335,16,1,6,619,379,0.619,400,265,106,0.2828,0.03037593984962406,1.0,0.842,842,1.0,2,326
41,0,0,652,39,158,149,2,158,348,15,0,9,603,395,0.603,383,269,98,0.27932799999999997,0.030601226993865027,1.0,0.84,840,1.0,2,341
42,0,0,641,38,156,163,2,156,359,11,0,14,616,382,0.616,403,238,95,0.26868800000000004,0.02994071762870515,1.0,0.842,842,1.0,2,352
43,0,0,629,40,155,173,3,155,371,14,1,12,639,358,0.639,410,219,101,0.2604,0.029570747217806042,1.0,0.842,842,1.0,3,366
44,0,0,608,50,153,186,3,153,392,22,0,14,634,363,0.634,399,209,96,0.251104,0.0295,1.0,0.844,844,1.0,3,388
45,0,0,596,51,157,193,3,157,404,13,0,8,662,335,0.662,396,200,109,0.245056,0.02936912751677852,1.0,0.84,840,1.0,3,401
46,0,0,580,51,164,202,3,164,420,18,0,11,654,343,0.654,395,185,108,0.23632000000000006,0.029103448275862073,1.0,0.833,833,1.0,3,419
47,0,0,572,43,166,216,3,166,428,10,0,16,639,358,0.639,374,198,113,0.23654400000000003,0.02953846153846154,1.0,0.831,831,1.0,3,429
48,0,0,559,40,172,226,3,172,441,13,0,10,641,356,0.641,362,197,121,0.23195200000000005,0.029638640429338108,1.0,0.825,825,1.0,3,442
49,0,0,552,30,174,241,3,174,448,7,0,15,676,321,0.676,373,179,127,0.22556800000000002,0.02918840579710145,1.0,0.823,823,1.0,3,449
50,0,0,538,35,171,252,4,171,462,16,1,13,613,383,0.613,336,202,109,0.226016,0.030007434944237917,1.0,0.825,825,1.0,4,465
51,0,0,525,40,172,259,4,172,475,15,0,9,619,377,0.619,336,189,102,0.218736,0.02976,1.0,0.824,824,1.0,4,480
52,0,0,517,41,165,272,5,165,483,10,1,15,624,371,0.624,333,184,105,0.21492800000000004,0.02969439071566731,1.0,0.83,830,1.0,5,490
53,0,0,508,42,169,276,5,169,492,12,0,7,628,367,0.628,330,178,116,0.21056,0.029606299212598424,1.0,0.826,826,1.0,5,502
54,0,0,497,41,168,289,5,168,503,11,0,13,614,381,0.614,310,187,113,0.20888000000000004,0.03002012072434608,1.0,0.827,827,1.0,5,513
55,0,0,490,33,174,298,5,174,510,9,0,11,620,375,0.62,301,189,114,0.20697600000000002,0.03017142857142857,1.0,0.821,821,1.0,5,522
56,0,0,488,25,173,308,6,173,512,4,1,12,620,374,0.62,307,181,118,0.204512,0.029934426229508197,1.0,0.821,821,1.0,6,526
57,0,0,478,25,161,330,6,161,522,10,0,22,635,359,0.635,308,170,115,0.198688,0.029690376569037658,1.0,0.833,833,1.0,6,536
58,0,0,476,24,156,338,6,156,524,9,0,15,632,362,0.632,296,180,114,0.20025600000000002,0.030050420168067228,1.0,0.838,838,1.0,6,545
59,0,0,470,26,154,344,6,154,530,10,0,10,637,357,0.637,293,177,114,0.197568,0.030025531914893613,1.0,0.84,840,1.0,6,555
60,0,0,458,32,148,356,6,148,542,14,0,14,666,328,0.666,319,139,104,0.18502400000000005,0.028855895196506554,1.0,0.846,846,1.0,6,569
61,0,0,452,32,139,371,6,139,548,7,0,16,648,346,0.648,307,145,91,0.184352,0.029132743362831857,1.0,0.855,855,1.0,6,576
62,0,0,445,28,134,386,7,134,555,8,1,16,640,353,0.64,301,144,83,0.18177600000000002,0.02917752808988764,1.0,0.859,859,1.0,7,584
63,0,0,442,22,132,397,7,132,558,7,0,15,648,345,0.648,300,142,91,0.18032,0.029140271493212667,1.0,0.861,861,1.0,7,591
64,0,0,441,21,127,404,7,127,559,6,0,12,623,370,0.623,278,163,81,0.18468800000000002,0.029913832199546485,1.0,0.866,866,1.0,7,597
65,0,0,434,25,123,411,7,123,566,10,0,10,625,368,0.625,277,157,86,0.18099200000000001,0.029788018433179724,1.0,0.87,870,1.0,7,607
66,0,0,432,20,119,422,7,119,568,3,0,12,607,386,0.607,261,171,82,0.183456,0.03033333333333333,1.0,0.874,874,1.0,7,610
67,0,0,432,20,113,428,7,113,568,4,0,10,606,387,0.606,265,167,73,0.18256,0.030185185185185183,1.0,0.88,880,1.0,7,614
68,0,0,432,17,109,435,7,109,568,4,0,11,608,385,0.608,282,150,67,0.178752,0.029555555555555557,1.0,0.884,884,1.0,7,618
69,0,0,423,19,109,442,7,109,577,11,0,9,602,391,0.602,274,149,73,0.17550400000000005,0.029635933806146576,1.0,0.884,884,1.0,7,629
70,0,0,409,27,108,449,7,108,591,16,0,9,632,361,0.632,265,144,76,0.16968000000000003,0.029633251833740833,1.0,0.885,885,1.0,7,645
71,0,0,406,24,101,462,7,101,594,4,0,14,588,405,0.588,248,158,62,0.17180800000000002,0.03022660098522167,1.0,0.892,892,1.0,7,649
72,0,0,399,29,100,465,7,100,601,12,0,8,627,366,0.627,253,146,70,0.166768,0.029854636591478693,1.0,0.893,893,1.0,7,661
73,0,0,397,27,100,469,7,100,603,7,0,9,659,334,0.659,264,133,70,0.16318400000000002,0.029360201511335015,1.0,0.893,893,1.0,7,668
74,0,0,400,23,95,475,7,95,600,2,0,11,645,348,0.645,270,130,60,0.16352000000000003,0.0292,1.0,0.898,898,1.0,7,670
75,0,0,403,17,98,474,8,98,597,6,1,8,644,348,0.644,266,137,68,0.16609600000000005,0.02943920595533499,1.0,0.894,894,1.0,8,676
76,0,0,403,15,94,480,8,94,597,3,0,9,676,316,0.676,282,121,61,0.16251200000000005,0.028803970223325065,1.0,0.898,898,1.0,8,679
77,0,0,398,16,94,484,8,94,602,8,0,7,664,328,0.664,270,128,66,0.16240000000000004,0.029145728643216084,1.0,0.898,898,1.0,8,687
78,0,0,397,14,91,490,8,91,603,2,0,7,633,359,0.633,257,140,64,0.164752,0.029642317380352647,1.0,0.901,901,1.0,8,689
79,0,0,395,11,90,496,8,90,605,3,0,7,615,377,0.615,243,152,65,0.166768,0.030156962025316453,1.0,0.902,902,1.0,8,692
80,0,0,397,9,88,498,8,88,603,3,0,7,611,381,0.611,232,165,61,0.170352,0.030649874055415614,1.0,0.904,904,1.0,8,695
81,0,0,398,7,87,500,8,87,602,4,0,7,633,359,0.633,264,134,51,0.16374400000000003,0.029386934673366838,1.0,0.905,905,1.0,8,699
82,0,0,397,11,80,504,8,80,603,7,0,10,646,346,0.646,265,132,55,0.16296000000000002,0.029319899244332495,1.0,0.912,912,1.0,8,706
83,0,0,391,18,73,510,8,73,609,9,0,9,630,362,0.63,262,129,49,0.16027200000000003,0.029278772378516626,1.0,0.919,919,1.0,8,715
84,0,0,392,17,64,519,8,64,608,2,0,12,661,331,0.661,267,125,46,0.159712,0.02910204081632653,1.0,0.928,928,1.0,8,717
85,0,0,394,15,61,521,9,61,606,4,1,8,666,325,0.666,270,124,43,0.16016000000000005,0.02903553299492386,1.0,0.93,930,1.0,9,721
86,0,0,397,14,57,523,9,57,603,4,0,9,669,322,0.669,283,114,37,0.158928,0.028594458438287153,1.0,0.934,934,1.0,9,725
87,0,0,400,10,56,525,9,56,600,1,0,6,644,347,0.644,260,140,35,0.16576000000000002,0.0296,1.0,0.935,935,1.0,9,726
88,0,0,399,9,56,527,9,56,601,1,0,2,598,393,0.598,255,144,34,0.16632,0.02977443609022556,1.0,0.935,935,1.0,9,727
89,0,0,401,5,58,527,9,58,599,0,0,2,613,378,0.613,266,135,34,0.164976,0.029386533665835414,1.0,0.933,933,1.0,9,727
90,0,0,400,5,56,530,9,56,600,2,0,4,573,418,0.573,257,143,31,0.166432,0.029719999999999996,1.0,0.935,935,1.0,9,729
91,0,0,402,4,53,532,9,53,598,2,0,6,578,413,0.578,252,150,26,0.16867200000000002,0.029970149253731343,1.0,0.938,938,1.0,9,731
92,0,0,404,4,48,534,10,48,596,1,1,5,596,394,0.596,268,136,25,0.16620800000000002,0.029386138613861384,1.0,0.942,942,1.0,10,732
