day,action,lockdown_level,S,E,I,R,D,Active,Total_Ever_Infected,new_infections,new_deaths,new_recoveries,A,U,rho_A,AS,US,AI,R_eff,beta_avg,base_economy,adjusted_economy,workforce_available,transmission_multiplier,cumulative_deaths,cumulative_infections
1,0,0,985,13,2,0,0,2,15,0,0,0,23,977,0.023,21,964,2,0.546896,0.039658883248730965,1.0,0.998,998,1.0,0,0
2,1,1,983,11,6,0,0,6,17,2,0,0,56,944,0.056,49,934,5,0.40462800000000004,0.029401831129196337,0.75,0.7455,994,0.75,0,2
3,1,1,982,10,8,0,0,8,18,1,0,0,66,934,0.066,57,925,7,0.402864,0.029303462321792262,0.75,0.744,992,0.75,0,3
4,1,1,980,9,11,0,0,11,20,2,0,0,96,904,0.096,86,894,9,0.39715200000000006,0.028946938775510207,0.75,0.74175,989,0.75,0,5
5,1,1,979,4,17,0,0,17,21,1,0,0,201,799,0.201,189,790,12,0.3794280000000001,0.027683350357507665,0.75,0.73725,983,0.75,0,6
6,1,1,978,4,18,0,0,18,22,1,0,0,319,681,0.319,307,671,11,0.359184,0.026233128834355825,0.75,0.7365,982,0.75,0,7
7,1,1,972,9,19,0,0,19,28,6,0,0,406,594,0.406,394,578,11,0.342048,0.025135802469135802,0.75,0.73575,981,0.75,0,13
8,1,1,971,6,23,0,0,23,29,1,0,0,495,505,0.495,478,493,16,0.327516,0.024092687950566426,0.75,0.73275,977,0.75,0,14
9,1,1,970,6,24,0,0,24,30,1,0,0,556,444,0.556,540,430,11,0.31667999999999996,0.023319587628865976,0.75,0.732,976,0.75,0,15
10,1,1,964,9,27,0,0,27,36,6,0,0,579,421,0.579,558,406,17,0.311136,0.023053941908713696,0.75,0.72975,973,0.75,0,21
11,1,1,963,9,28,0,0,28,37,1,0,0,591,409,0.591,568,395,18,0.30903600000000003,0.022922118380062306,0.75,0.729,972,0.75,0,22
12,1,1,961,9,29,1,0,29,39,2,0,1,613,387,0.613,590,371,19,0.3045,0.02263267429760666,0.75,0.72825,971,0.75,0,24
13,1,1,957,8,33,2,0,33,43,4,0,1,642,358,0.642,614,343,23,0.29878799999999994,0.022300940438871472,0.75,0.72525,967,0.75,0,28
14,1,1,950,13,30,7,0,30,50,7,0,5,681,319,0.681,645,305,25,0.29063999999999995,0.021852631578947367,0.75,0.7275,970,0.75,0,35
15,1,1,944,15,32,9,0,32,56,6,0,2,668,332,0.668,629,315,23,0.29080799999999996,0.02200423728813559,0.75,0.726,968,0.75,0,41
16,1,1,937,19,34,10,0,34,63,7,0,1,642,358,0.642,600,337,26,0.29274000000000006,0.02231590181430096,0.75,0.7245,966,0.75,0,48
17,1,1,933,14,43,10,0,43,67,4,0,0,646,354,0.646,602,331,31,0.290724,0.0222572347266881,0.75,0.71775,957,0.75,0,52
18,1,1,928,14,43,15,0,43,72,5,0,5,609,391,0.609,564,364,29,0.29500800000000005,0.022706896551724136,0.75,0.71775,957,0.75,0,57
19,1,1,926,10,48,16,0,48,74,2,0,1,593,407,0.593,549,377,29,0.29668800000000006,0.022885529157667388,0.75,0.714,952,0.75,0,59
20,1,1,921,14,47,18,0,47,79,6,0,3,631,369,0.631,575,346,34,0.29022000000000003,0.022508143322475572,0.75,0.71475,953,0.75,0,65
21,1,1,920,10,48,22,0,48,80,1,0,4,618,382,0.618,572,348,27,0.290304,0.022539130434782607,0.75,0.714,952,0.75,0,66
22,1,1,919,10,50,21,0,50,81,2,0,0,589,411,0.589,542,377,27,0.2949240000000001,0.02292274211099021,0.75,0.7125,950,0.75,0,68
23,1,1,912,13,52,23,0,52,88,7,0,2,596,404,0.596,543,369,31,0.2918160000000001,0.02285526315789474,0.75,0.711,948,0.75,0,75
24,1,1,905,15,55,24,1,55,95,8,1,2,649,350,0.649,582,323,36,0.28232399999999996,0.02228287292817679,0.75,0.708,944,0.75,1,83
25,1,1,898,15,59,27,1,59,102,7,0,3,636,363,0.636,570,328,40,0.28140000000000004,0.022383073496659245,0.75,0.705,940,0.75,1,90
26,1,1,892,18,60,29,1,60,108,6,0,2,641,358,0.641,573,319,40,0.27837600000000007,0.022291479820627805,0.75,0.70425,939,0.75,1,96
27,1,1,883,17,63,36,1,63,117,9,0,7,622,377,0.622,545,338,45,0.27930000000000005,0.022593431483578712,0.75,0.702,936,0.75,1,105
28,1,1,877,20,65,37,1,65,123,7,0,2,639,360,0.639,556,321,45,0.274932,0.02239224629418472,0.75,0.7005,934,0.75,1,112
29,1,1,871,18,65,45,1,65,129,6,0,8,634,365,0.634,552,319,44,0.273084,0.022394948335246842,0.75,0.7005,934,0.75,1,118
30,1,1,867,18,63,51,1,63,133,4,0,6,629,370,0.629,548,319,39,0.27207600000000004,0.022415224913494812,0.75,0.702,936,0.75,1,122
